name,smarts,S_k,S_t,S_e,depth,n_atoms
daylight_examples.smarts_67,[CH2X4][CX3](=[OX1])[NX3H2],0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_68,"[CH2X4][CX3](=[OX1])[OH0-,OH]",0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_69,"[CH2X4][SX2H,SX1H0-]",0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_70,"[CH2X4][CH2X4][CX3](=[OX1])[OH0-,OH]",0.16666666666666666,0.2222222222222222,0.7757201646090535,9,5
daylight_examples.smarts_71,"N[CX4H2][CX3](=[OX1])[O,N]",0.16666666666666666,0.2222222222222222,0.7757201646090535,9,5
daylight_examples.smarts_72,"[CH2X4][#6X3]1:[$([#7X3H+,#7X2H0+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]:[$([#7X3H+,#7X2H0+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]1",0.08333333333333333,0.4135802469135802,0.7493141289437586,12,6
daylight_examples.smarts_73,[CHX4]([CH3X4])[CH2X4][CH3X4],0.21428571428571427,0.0,0.7795414462081128,7,4
daylight_examples.smarts_74,[CH2X4][CHX4]([CH3X4])[CH3X4],0.21428571428571427,0.0,0.7795414462081128,7,4
daylight_examples.smarts_75,"[CH2X4][CH2X4][CH2X4][CH2X4][NX4+,NX3+0]",0.2222222222222222,0.0,0.7757201646090535,9,5
daylight_examples.smarts_76,[CH2X4][CH2X4][SX2][CH3X4],0.21428571428571427,0.0,0.7795414462081128,7,4
daylight_examples.smarts_77,[CH2X4][cX3]1[cX3H][cX3H][cX3H][cX3H][cX3H]1,0.03571428571428571,0.6785671947994765,0.369047619047619,14,7
daylight_examples.smarts_78,"N1[CX4H]([CH2][CH2][CH2]1)[CX3](=[OX1])[O,N]",0.21875,0.19791666666666666,0.749923792104862,16,8
daylight_examples.smarts_79,[CH2X4][OX2H],0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_80,[CHX4]([CH3X4])[OX2H],0.2,0.0,0.7814814814814814,5,3
daylight_examples.smarts_81,[CH2X4][cX3]1[cX3H][nX3H][cX3]2[cX3H][cX3H][cX3H][cX3H][cX3]12,0.023809523809523808,0.7023767186090002,0.3571428571428571,21,10
daylight_examples.smarts_82,"[CH2X4][cX3]1[cX3H][cX3H][cX3]([OHX2,OH0X1-])[cX3H][cX3H]1",0.0625,0.6249957662280479,0.5069444444444444,16,8
daylight_examples.smarts_83,[CHX4]([CH3X4])[CH3X4],0.2,0.0,0.7814814814814814,5,3
daylight_examples.smarts_84,"[$(*-[NX2-]-[NX2+]#[NX1]),$(*-[NX2]=[NX2+]=[NX1-])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_85,"[$([NX1-]=[NX2+]=[NX1-]),$([NX1]#[NX2+]-[NX1-2])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_86,[#7],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_87,[NX2]=N,0.0,0.3333333333333333,0.7777777777777777,3,2
daylight_examples.smarts_88,[NX2]=[NX2],0.0,0.3333333333333333,0.7777777777777777,3,2
daylight_examples.smarts_89,"[$([NX2]=[NX3+]([O-])[#6]),$([NX2]=[NX3+0](=[O])[#6])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_90,"[$([#6]=[N+]=[N-]),$([#6-]-[N+]#[N])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_91,"[$([nr5]:[nr5,or5,sr5]),$([nr5]:[cr5]:[nr5,or5,sr5])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_92,[NX3][NX3],0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_93,[NX3][NX2]=[*],0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_94,"[CX3;$([C]([#6])[#6]),$([CH][#6])]=[NX2][#6]",0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_95,"[$([CX3]([#6])[#6]),$([CX3H][#6])]=[$([NX2][#6]),$([NX2H])]",0.0,0.3333333333333333,0.7777777777777777,3,2
