atlas_id,name,type,S_k,S_t,S_e,trit_depth,gateway_trit,n_oscillators
FP_0135,daylight_examples.smarts_136,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0136,daylight_examples.smarts_137,molecular,0.1111111111111111,0.3333333333333333,0.7757201646090535,9.0,0.0,
FP_0137,daylight_examples.smarts_138,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0138,daylight_examples.smarts_139,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0139,daylight_examples.smarts_140,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0140,daylight_examples.smarts_141,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0141,daylight_examples.smarts_142,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0142,daylight_examples.smarts_143,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0143,daylight_examples.smarts_144,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0144,daylight_examples.smarts_145,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0145,daylight_examples.smarts_146,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0146,daylight_examples.smarts_147,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,0.0,
FP_0147,daylight_examples.smarts_148,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0148,daylight_examples.smarts_149,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0149,daylight_examples.smarts_150,molecular,0.0,0.7407407407407407,0.0,3.0,1.0,
FP_0150,daylight_examples.smarts_151,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,2.0,
FP_0151,daylight_examples.smarts_152,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0152,daylight_examples.smarts_155,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0153,daylight_examples.smarts_156,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0154,daylight_examples.smarts_157,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0155,daylight_examples.smarts_158,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0156,daylight_examples.smarts_159,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0157,daylight_examples.smarts_160,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0158,daylight_examples.smarts_161,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0159,daylight_examples.smarts_162,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0160,daylight_examples.smarts_163,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0161,daylight_examples.smarts_164,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0162,daylight_examples.smarts_165,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0163,daylight_examples.smarts_166,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0164,daylight_examples.smarts_167,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0165,daylight_examples.smarts_168,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0166,daylight_examples.smarts_169,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0167,daylight_examples.smarts_170,molecular,0.21428571428571427,0.0,0.7795414462081128,7.0,2.0,
FP_0168,daylight_examples.smarts_171,molecular,0.21428571428571427,0.0,0.7795414462081128,7.0,2.0,
FP_0169,daylight_examples.smarts_172,molecular,0.23333333333333334,0.0,0.7665904587715286,15.0,2.0,
FP_0170,daylight_examples.smarts_173,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0171,daylight_examples.smarts_174,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0172,daylight_examples.smarts_175,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0173,daylight_examples.smarts_176,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0174,daylight_examples.smarts_177,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
